strategy,N,selected_true_return,selected_proxy_score,selected_risk,selected_precision,selected_stale_rate,benchmark,seed
recent_only,1,15.283009019799811,24.80967013320434,0.025722820437786984,0.9886904761904763,0.011309523809523806,CartPole-v1,17
recent_only,4,20.194737452441125,25.473483040130116,0.01644304036918768,0.9958798363095238,0.004120163690476186,CartPole-v1,17
recent_only,16,24.030526822136554,25.933664079687343,0.012214643804324651,0.9999328655539198,6.713444608017219e-05,CartPole-v1,17
recent_only,64,25.649395387297126,26.03444045741277,0.012110289104288009,0.9999999999997314,2.6856228594501013e-13,CartPole-v1,17
naive_memory,1,15.283009019799813,27.542720894437313,0.7138255929654244,0.3437500000000001,0.65625,CartPole-v1,17
naive_memory,4,19.458403541092178,28.780472228441027,0.7375649538697856,0.31947008566881613,0.6805299143311838,CartPole-v1,17
naive_memory,16,23.748917528917644,29.029887565094505,0.761901666819992,0.2941192923632623,0.7058807076367376,CartPole-v1,17
naive_memory,64,25.645389987999497,29.04634410086138,0.758887504726221,0.29862502959786075,0.7013749704021391,CartPole-v1,17
repaired_memory,1,15.283009019799811,24.681056031015405,0.025722820437786988,0.9886904761904763,0.011309523809523811,CartPole-v1,17
repaired_memory,4,20.19598638184858,25.395748680741747,0.014870828482503507,0.9973024829144621,0.0026975170855379196,CartPole-v1,17
repaired_memory,16,24.03055732219092,25.87279513846613,0.012148630300668303,0.9999917754434856,8.224556514458141e-06,CartPole-v1,17
repaired_memory,64,25.649395387297137,25.97388901189238,0.0121102891039815,1.0,5.219420240259911e-17,CartPole-v1,17
oracle_memory,1,15.28300901979981,24.89413357096565,0.012544151054737345,1.0000000000000002,0.0,CartPole-v1,17
oracle_memory,4,19.57685247530465,25.542386092210663,0.011457556396130258,1.0,0.0,CartPole-v1,17
oracle_memory,16,23.815511378212168,25.943210251624404,0.012018549803843589,1.0,0.0,CartPole-v1,17
oracle_memory,64,25.64937686869791,26.03444126244829,0.012110256989239686,1.0,0.0,CartPole-v1,17
recent_only,1,14.337188383620502,24.713196449972138,0.019206219437793014,0.992559523809524,0.007440476190476192,CartPole-v1,29
recent_only,4,15.038715501230497,25.423794179489843,0.0244798662329031,0.9888101137083886,0.01118988629161155,CartPole-v1,29
recent_only,16,15.360507473623123,25.800245468397414,0.0203844350272776,0.9919740399006212,0.00802596009937891,CartPole-v1,29
recent_only,64,13.829593424703512,26.02046938276583,0.010825381473854255,0.9998637496853728,0.0001362503146271898,CartPole-v1,29
naive_memory,1,14.337188383620502,27.199677575500214,0.7249957613212584,0.32797619047619053,0.6720238095238097,CartPole-v1,29
naive_memory,4,16.998894753368322,28.06031909602211,0.7364890791483033,0.3130239765900574,0.6869760234099427,CartPole-v1,29
naive_memory,16,19.71308937109271,28.620340646120912,0.7729727909429613,0.27080693135892153,0.7291930686410785,CartPole-v1,29
naive_memory,64,20.3924465662577,28.795441808451216,0.8153335344378948,0.2217838591276121,0.778216140872388,CartPole-v1,29
repaired_memory,1,14.337188383620504,24.617165352783164,0.01920621943779301,0.992559523809524,0.007440476190476192,CartPole-v1,29
repaired_memory,4,15.857057659389907,25.319826762739275,0.019404526327981328,0.9930244459256503,0.0069755540743496455,CartPole-v1,29
repaired_memory,16,16.708556183823877,25.733207943090942,0.011693438562487916,0.9992041755253435,0.0007958244746564681,CartPole-v1,29
repaired_memory,64,13.85404868741593,25.96709061426081,0.010661725366689353,0.9999999885304681,1.1469531938393562e-08,CartPole-v1,29
oracle_memory,1,14.337188383620502,24.761195350531633,0.01062993994938716,1.0000000000000002,0.0,CartPole-v1,29
oracle_memory,4,15.038715501230497,25.495241644963297,0.011725919970081608,1.0,0.0,CartPole-v1,29
oracle_memory,16,15.360507473623123,25.851404852597547,0.011237407022594943,1.0,0.0,CartPole-v1,29
oracle_memory,64,13.829593424703512,26.021337874772637,0.010670099684746298,1.0,0.0,CartPole-v1,29
recent_only,1,3.911023318175067,2.487647042177276,0.025314514124743875,0.996190476190476,0.003809523809523811,MountainCar-v0,17
recent_only,4,6.035195726929583,2.7042112421565387,0.029190358187048602,0.9908289241622575,0.009171075837742506,MountainCar-v0,17
recent_only,16,6.896305933324964,2.7690364355899093,0.03106398141823157,0.9885888278724613,0.011411172127538886,MountainCar-v0,17
recent_only,64,6.902837243014122,2.769412870423128,0.031079220111551474,0.98857142857149,0.011428571428510031,MountainCar-v0,17
naive_memory,1,3.911023318175066,4.956203916197494,0.7030360363621074,0.3104761904761905,0.6895238095238096,MountainCar-v0,17
naive_memory,4,3.754217822665558,5.124259375423553,0.7097098322827439,0.30388682208994705,0.6961131779100529,MountainCar-v0,17
naive_memory,16,2.622855543445808,5.177472114990179,0.6904815025469667,0.3226789676817686,0.6773210323182313,MountainCar-v0,17
naive_memory,64,2.7202218311097988,5.185847362110533,0.6672987299079126,0.3451965338849503,0.6548034661150498,MountainCar-v0,17
repaired_memory,1,3.911023318175067,2.3610744715535565,0.025314514124743875,0.996190476190476,0.003809523809523811,MountainCar-v0,17
repaired_memory,4,6.03510760501779,2.55826608368327,0.02918385262559391,0.9908289241622575,0.009171075837742506,MountainCar-v0,17
repaired_memory,16,6.896305933216908,2.613716528503359,0.03106398141101265,0.9885888278724613,0.011411172127538886,MountainCar-v0,17
repaired_memory,64,6.902837243014122,2.6140167698653705,0.031079220111551474,0.98857142857149,0.011428571428510031,MountainCar-v0,17
oracle_memory,1,3.911023318175067,2.452872288083026,0.021533360805050732,1.0000000000000002,0.0,MountainCar-v0,17
oracle_memory,4,6.035195726929583,2.6204942415592725,0.020087581676676226,1.0,0.0,MountainCar-v0,17
oracle_memory,16,6.896305933324964,2.664871000616052,0.019737791183177776,1.0,0.0,MountainCar-v0,17
oracle_memory,64,6.902837243014122,2.665088608140941,0.019735760152532995,1.0,0.0,MountainCar-v0,17
recent_only,1,6.994449059729816,8.454340640671282,0.015516320643280491,1.0000000000000002,0.0,MountainCar-v0,29
recent_only,4,11.16983113694167,12.526979821319598,0.015027202078141332,1.0,0.0,MountainCar-v0,29
recent_only,16,11.659717703553786,12.970333031458717,0.01494345380830239,1.0,0.0,MountainCar-v0,29
recent_only,64,11.659830520972246,12.970422783564375,0.014943427570114689,1.0,0.0,MountainCar-v0,29
naive_memory,1,6.994449059729816,6.511994729271221,0.468814915345328,0.548809523809524,0.4511904761904761,MountainCar-v0,29
naive_memory,4,11.129042785370153,8.17996626434406,0.5198168403736024,0.4984980055390211,0.5015019944609789,MountainCar-v0,29
naive_memory,16,11.659720997022436,8.372610144990237,0.5269681496520018,0.49143029329245097,0.508569706707549,MountainCar-v0,29
naive_memory,64,11.659830520972246,8.372648225268215,0.5269698948687633,0.49142857142857144,0.5085714285714286,MountainCar-v0,29
repaired_memory,1,6.994449059729816,8.376759037454878,0.015516320643280491,1.0000000000000002,0.0,MountainCar-v0,29
repaired_memory,4,11.16983113694167,12.451843810928892,0.015027202078141332,1.0,0.0,MountainCar-v0,29
repaired_memory,16,11.659717703553786,12.895615762417204,0.01494345380830239,1.0,0.0,MountainCar-v0,29
repaired_memory,64,11.659830520972246,12.895705645713802,0.014943427570114689,1.0,0.0,MountainCar-v0,29
oracle_memory,1,6.994449059729816,8.454340640671282,0.015516320643280491,1.0000000000000002,0.0,MountainCar-v0,29
oracle_memory,4,11.16983113694167,12.526979821319598,0.015027202078141332,1.0,0.0,MountainCar-v0,29
oracle_memory,16,11.659717703553786,12.970333031458717,0.01494345380830239,1.0,0.0,MountainCar-v0,29
oracle_memory,64,11.659830520972246,12.970422783564375,0.014943427570114689,1.0,0.0,MountainCar-v0,29
recent_only,1,-41.80121571433274,-19.579465116679426,0.09466330129809569,1.0000000000000002,0.0,Acrobot-v1,17
recent_only,4,-42.355452303517275,4.986578953579166,0.11064330663375378,1.0,0.0,Acrobot-v1,17
recent_only,16,-42.42116315017223,20.010546392134195,0.12475451807108952,1.0,0.0,Acrobot-v1,17
recent_only,64,-42.420452743183816,20.78101101097611,0.12573190523321778,1.0,0.0,Acrobot-v1,17
naive_memory,1,-41.801215714332734,-32.61033345214359,0.723010025431055,0.35452380952380946,0.6454761904761905,Acrobot-v1,17
naive_memory,4,-41.71966071940717,-29.49526794135955,0.7500180019341111,0.3313219762731481,0.6686780237268517,Acrobot-v1,17
naive_memory,16,-40.97354529993629,-25.235293876275332,0.7399464014091731,0.33992636504327267,0.6600736349567272,Acrobot-v1,17
naive_memory,64,-39.723759340185495,-20.58533601368528,0.7006484170796503,0.372267939216247,0.627732060783753,Acrobot-v1,17
repaired_memory,1,-41.80121571433274,-20.052781623169896,0.09466330129809569,1.0000000000000002,0.0,Acrobot-v1,17
repaired_memory,4,-42.355452303517275,4.433362420410395,0.11064330663375378,1.0,0.0,Acrobot-v1,17
repaired_memory,16,-42.42116315017223,19.38677380177875,0.12475451807108952,1.0,0.0,Acrobot-v1,17
repaired_memory,64,-42.420452743183816,20.15235148481002,0.12573190523321778,1.0,0.0,Acrobot-v1,17
oracle_memory,1,-41.80121571433274,-19.579465116679426,0.09466330129809569,1.0000000000000002,0.0,Acrobot-v1,17
oracle_memory,4,-42.355452303517275,4.986578953579166,0.11064330663375378,1.0,0.0,Acrobot-v1,17
oracle_memory,16,-42.42116315017223,20.010546392134195,0.12475451807108952,1.0,0.0,Acrobot-v1,17
oracle_memory,64,-42.420452743183816,20.78101101097611,0.12573190523321778,1.0,0.0,Acrobot-v1,17
recent_only,1,-41.85638540284947,0.19708673092955067,0.21145086515571015,0.8957142857142859,0.10428571428571426,Acrobot-v1,29
recent_only,4,-41.92313510271098,14.395713748260981,0.25123731615699635,0.8517430004409172,0.14825699955908284,Acrobot-v1,29
recent_only,16,-42.13076685432571,17.1723813288132,0.16730105822023314,0.9387322287290009,0.06126777127099915,Acrobot-v1,29
recent_only,64,-41.81858787819079,19.456464654419012,0.13861790578275102,0.9700105505256251,0.02998944947437493,Acrobot-v1,29
naive_memory,1,-41.856385402849455,-21.47495776386622,0.8164576152995863,0.2752380952380953,0.7247619047619047,Acrobot-v1,29
naive_memory,4,-41.458873620522105,-9.69596541844027,0.7754412725668427,0.30624975887345673,0.6937502411265432,Acrobot-v1,29
naive_memory,16,-41.60196082329396,-6.072257505514341,0.7753626340464856,0.30296760133335904,0.697032398666641,Acrobot-v1,29
naive_memory,64,-41.60678254517797,-6.021186090823236,0.7754153788610085,0.30285714286875837,0.6971428571312417,Acrobot-v1,29
repaired_memory,1,-41.85638540284947,-0.8601675948490002,0.21145086515571015,0.8957142857142859,0.10428571428571426,Acrobot-v1,29
repaired_memory,4,-41.92313510271098,13.139527167475999,0.25123731615699635,0.8517430004409172,0.14825699955908284,Acrobot-v1,29
repaired_memory,16,-42.13076685432571,16.335876037712033,0.16730105822023314,0.9387322287290009,0.06126777127099915,Acrobot-v1,29
repaired_memory,64,-41.81858787819079,18.763375125505256,0.13861790578275102,0.9700105505256251,0.02998944947437493,Acrobot-v1,29
oracle_memory,1,-41.85638540284947,2.7520276887487514,0.11370403565620223,1.0000000000000002,0.0,Acrobot-v1,29
oracle_memory,4,-41.49794328015707,17.95021600537843,0.10836422904042818,1.0,0.0,Acrobot-v1,29
oracle_memory,16,-41.39792561570597,20.163969566152105,0.1050079364234471,1.0,0.0,Acrobot-v1,29
oracle_memory,64,-40.325460155310964,21.318460732067212,0.1068822028467666,1.0,0.0,Acrobot-v1,29
